saison;Spieltag;Datum;time;Ort;gegner;score1;score2;win;already_meister;win_draw;lose;
2012-13;12;17.11.12;15:30;A;1. FC Nürnberg;1;1;0;0;1;0;
2012-13;13;24.11.12;15:30;H;Hannover 96;5;0;1;0;1;0;
2012-13;14;28.11.12;20:00;A;SC Freiburg;2;0;1;0;1;0;
2012-13;15;01.12.12;18:30;H;Borussia Dortmund;1;1;0;0;1;0;
2012-13;16;08.12.12;15:30;A;FC Augsburg;2;0;1;0;1;0;
2012-13;17;14.12.12;20:30;H;Bor. Mönchengladbach;1;1;0;0;1;0;
2012-13;18;19.01.13;15:30;H;SpVgg Greuther Fürth;2;0;1;0;1;0;
2012-13;19;27.01.13;17:30;A;VfB Stuttgart;2;0;1;0;1;0;
2012-13;20;02.02.13;15:30;A;1. FSV Mainz 05;3;0;1;0;1;0;
2012-13;21;09.02.13;18:30;H;FC Schalke 04;4;0;1;0;1;0;
2012-13;22;15.02.13;20:30;A;VfL Wolfsburg;2;0;1;0;1;0;
2012-13;23;23.02.13;15:30;H;Werder Bremen;6;1;1;0;1;0;
